Acer opalus;6603;Italian Maple;32;66;500;5000;7;30;2000;20000;32;38;26;32;288;0;0;;;;;;;;;;2;Acer;opalus;;Acer opalus;1622;true;0;0;false;false;;A;101;2;2;1
Acer palmatum 'Sango-Kaku';5926;Coral Bark Japanese Maple;32;66;500;5000;7;40;2000;20000;32;38;26;32;288;0;0;490;730;365;550;5;8;2;8;-23.5;0;Acer;palmatum;Sango-Kaku;Acer palmatum;49;false;0;0;false;false;;A;102;2;2;1
Acer palmatum;32;Japanese Maple;32;66;500;5000;7;40;2000;20000;32;38;26;32;288;0;0;120;305;120;305;5;8;2;8;-23.5;516;Acer;palmatum;;Acer palmatum;49;true;2;160;false;false;;A;103;2;2;1
Acer palmatum 'Crimson Queen';6560;Japanese Maple;32;66;500;5000;7;40;2000;20000;32;38;26;32;288;0;0;120;305;120;305;5;8;2;8;-23.5;0;Acer;palmatum;Crimson Queen;Acer palmatum;49;false;0;0;false;false;;A;104;2;2;1
Acer pensylvanicum;50;Pennsylvania Maple;32;66;500;5000;7;30;2000;20000;32;38;26;32;288;0;0;550;1065;455;915;3;7;1;7;-34.5;2;Acer;pensylvanicum;;Acer pensylvanicum;61;true;0;32;false;false;;A;105;2;2;1
Acer platanoides;33;Norway Maple;32;66;500;5000;7;35.9;2000;20000;32;38;26;32;288;0;0;1525;2285;1065;1525;3;7;1;7;-34.5;12;Acer;platanoides;;Acer platanoides;50;true;0;32;false;false;;A;106;2;2;1
Acer pseudoplatanus;6604;Sycamore;32;66;500;5000;7;30;2000;20000;32;38;26;32;288;0;0;;;;;;;;;;2;Acer;pseudoplatanus;;Acer pseudoplatanus;1623;true;0;128;false;false;Acer atropurpureum, Acer villosum;A;107;2;2;1
Acer pseudosieboldianum;9283;Korean Maple;32;66;500;5000;7;30;2000;20000;32;38;26;32;288;0;0;;;;;;;;;;11;Acer;pseudosieboldianum;;Acer pseudosieboldianum;4032;true;0;0;false;false;;A;108;2;2;1
Acer rubrum;34;Red Maple;32;66;500;5000;7;35.9;2000;20000;32;38;26;32;288;0;0;1370;1525;1220;1525;3;9;1;9;-34.5;40;Acer;rubrum;;Acer rubrum;51;true;1;160;false;false;;A;109;2;2;1
Acer rubrum 'Franksred Red Sunset®';35;Red Maple;32;66;500;5000;7;35.9;2000;20000;32;38;26;32;288;0;0;1370;1525;1220;1525;3;9;1;9;-34.5;0;Acer;rubrum;Franksred Red Sunset®;Acer rubrum;51;false;0;0;false;false;;A;110;2;2;1
Acer rufinerve;6605;Redvein Maple;32;66;500;5000;7;30;2000;20000;32;38;26;32;288;0;0;;;;;;;;;;2;Acer;rufinerve;;Acer rufinerve;1624;true;0;0;false;false;;A;111;2;2;1
Acer saccharinum;37;Silver Maple;32;66;500;5000;7;40;2000;20000;32;38;26;32;288;0;0;1830;2135;1525;2285;3;9;1;8;-34.5;4;Acer;saccharinum;;Acer saccharinum;53;true;0;32;false;false;;A;112;2;2;1
Acer saccharum;36;Sugar Maple;32;66;500;5000;7;35.9;2000;20000;32;38;26;32;288;0;0;1525;1980;1220;1525;4;8;1;8;-29;10;Acer;saccharum;;Acer saccharum;52;true;0;32;false;false;;A;113;2;2;1
